epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.02392,2.00117,3.14435,1.82367,0.03356,0.74705,0.20329,0.06946,1.89403,3.11385,1.41431,0.00034,0.00034,0.00034
2,8.92149,1.81708,2.2496,1.47659,0.03447,0.76728,0.23248,0.0835,2.16948,2.85221,1.50087,0.00068614,0.00068614,0.00068614
3,12.8907,1.8343,1.71939,1.51136,0.50588,0.31535,0.34175,0.15327,1.89336,2.27403,1.4552,0.00101802,0.00101802,0.00101802
4,16.8366,1.74748,1.6145,1.52112,0.44508,0.34907,0.34096,0.15596,1.9273,2.15364,1.5216,0.00133565,0.00133565,0.00133565
5,20.5751,1.6999,1.53831,1.46822,0.59167,0.46427,0.48973,0.23149,1.8792,1.80728,1.52935,0.00163902,0.00163902,0.00163902
6,24.2857,1.68351,1.54598,1.43523,0.58431,0.40809,0.47201,0.228,1.83569,1.79034,1.52718,0.001802,0.001802,0.001802
7,28.1626,1.67881,1.48588,1.46938,0.60741,0.4688,0.53234,0.2648,1.77807,1.7362,1.54903,0.0017624,0.0017624,0.0017624
8,32.0172,1.69178,1.45411,1.46843,0.6058,0.55818,0.56821,0.29169,1.77023,1.60537,1.52045,0.0017228,0.0017228,0.0017228
9,35.839,1.64045,1.42849,1.44115,0.67021,0.55481,0.62537,0.3098,1.81476,1.4639,1.56314,0.0016832,0.0016832,0.0016832
10,39.589,1.60564,1.37896,1.41464,0.71336,0.63912,0.68212,0.33376,1.79953,1.60243,1.54947,0.0016436,0.0016436,0.0016436
11,43.376,1.59853,1.36461,1.40486,0.71534,0.61046,0.65493,0.28324,1.97721,1.51481,1.65757,0.001604,0.001604,0.001604
12,47.1186,1.59182,1.35115,1.3942,0.74164,0.58089,0.64727,0.31329,1.84486,1.44595,1.5381,0.0015644,0.0015644,0.0015644
13,50.8756,1.63355,1.35723,1.42879,0.6783,0.6009,0.6541,0.33202,1.74512,1.51009,1.45998,0.0015248,0.0015248,0.0015248
14,54.767,1.60953,1.3255,1.4025,0.73726,0.61214,0.67038,0.30915,1.82224,1.48161,1.52329,0.0014852,0.0014852,0.0014852
15,58.4504,1.58168,1.28803,1.38633,0.69909,0.5955,0.6408,0.26728,1.92745,1.61804,1.63597,0.0014456,0.0014456,0.0014456
16,62.1597,1.57845,1.29669,1.39932,0.77406,0.6124,0.68506,0.34217,1.82495,1.33786,1.53804,0.001406,0.001406,0.001406
17,65.9374,1.5159,1.22866,1.35951,0.72037,0.57167,0.63516,0.31312,1.80038,1.43325,1.52318,0.0013664,0.0013664,0.0013664
18,69.7518,1.54682,1.23028,1.37023,0.65446,0.61551,0.63503,0.31578,1.75412,1.51311,1.44158,0.0013268,0.0013268,0.0013268
19,73.5144,1.52312,1.23813,1.35326,0.75525,0.63238,0.7107,0.35679,1.70751,1.29048,1.43146,0.0012872,0.0012872,0.0012872
20,77.2573,1.55037,1.24501,1.36466,0.75008,0.61383,0.69749,0.33241,1.8401,1.32416,1.51177,0.0012476,0.0012476,0.0012476
21,80.9406,1.535,1.23137,1.36056,0.75671,0.58853,0.67485,0.33175,1.7795,1.36576,1.48517,0.001208,0.001208,0.001208
22,84.6301,1.51436,1.22559,1.35998,0.725,0.59572,0.67468,0.34807,1.72083,1.37682,1.47905,0.0011684,0.0011684,0.0011684
23,88.2819,1.47977,1.17962,1.33825,0.7717,0.60992,0.69914,0.33947,1.80755,1.28423,1.52145,0.0011288,0.0011288,0.0011288
24,92.1666,1.4913,1.16346,1.33798,0.70111,0.60371,0.6751,0.33904,1.72148,1.33782,1.45584,0.0010892,0.0010892,0.0010892
25,95.8374,1.48087,1.16104,1.34229,0.78991,0.62138,0.71305,0.35245,1.80579,1.2424,1.4904,0.0010496,0.0010496,0.0010496
26,99.5858,1.48351,1.13008,1.33245,0.73793,0.62057,0.67246,0.31935,1.81656,1.31962,1.5237,0.00101,0.00101,0.00101
27,103.27,1.49095,1.13966,1.34843,0.74257,0.63722,0.6898,0.33832,1.81466,1.30615,1.50139,0.0009704,0.0009704,0.0009704
