epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51597,2.06422,2.51402,2.01757,0.5649,0.5801,0.56123,0.22169,1.87167,4.76614,1.75351,0.00034,0.00034,0.00034
2,13.5058,1.75264,1.62663,1.62873,0.45175,0.45363,0.36194,0.15398,2.03558,3.01819,1.77271,0.00069538,0.00069538,0.00069538
3,19.5063,1.72515,1.47701,1.60547,0.49926,0.49095,0.46895,0.19391,1.95425,2.22297,1.83481,0.00104601,0.00104601,0.00104601
4,25.1695,1.68675,1.46097,1.57129,0.0962,0.4688,0.07216,0.03135,1.99522,7.21305,1.91098,0.00139188,0.00139188,0.00139188
5,30.7589,1.69546,1.402,1.58665,0.24436,0.45868,0.2428,0.11543,1.93035,5.12812,1.9004,0.00173301,0.00173301,0.00173301
6,36.2945,1.6982,1.47363,1.57018,0.6116,0.54967,0.57454,0.23841,1.90276,2.85837,1.789,0.001934,0.001934,0.001934
7,41.9413,1.71425,1.45274,1.59019,0.64988,0.52445,0.53615,0.22612,1.95686,2.53206,1.80608,0.0019208,0.0019208,0.0019208
8,47.5325,1.7004,1.34336,1.56951,0.68003,0.5312,0.60527,0.27311,1.91835,2.0689,1.81887,0.0019076,0.0019076,0.0019076
9,53.3261,1.65348,1.31343,1.55955,0.64396,0.58257,0.6117,0.26214,2.01026,1.87232,1.86975,0.0018944,0.0018944,0.0018944
10,58.9171,1.59641,1.23299,1.49809,0.68401,0.57336,0.63356,0.27676,1.96266,1.55234,1.75278,0.0018812,0.0018812,0.0018812
11,64.6212,1.59296,1.19991,1.48477,0.63826,0.60202,0.59318,0.24563,2.09271,1.91159,1.90747,0.001868,0.001868,0.001868
12,71.5983,1.57952,1.18633,1.50104,0.71514,0.52445,0.58116,0.23826,2.11372,1.70048,1.90778,0.0018548,0.0018548,0.0018548
13,78.5323,1.63436,1.21667,1.53739,0.59794,0.54923,0.55798,0.27282,1.84449,1.49986,1.6577,0.0018416,0.0018416,0.0018416
14,85.77,1.5942,1.17883,1.48181,0.69174,0.6425,0.69489,0.33143,1.92279,1.2812,1.7286,0.0018284,0.0018284,0.0018284
15,94.029,1.56586,1.14053,1.48309,0.67238,0.63575,0.67116,0.30715,1.97354,1.26378,1.78298,0.0018152,0.0018152,0.0018152
16,101.754,1.58522,1.16134,1.48377,0.61767,0.58853,0.61196,0.2744,2.00502,1.49741,1.77322,0.001802,0.001802,0.001802
17,109.584,1.54959,1.10232,1.46432,0.73453,0.60656,0.66346,0.30444,1.90836,1.28174,1.68633,0.0017888,0.0017888,0.0017888
